
FM-removed
XY-Scan
nm
uR	252.302	90.000	0.0009	1.0000	0.0000	6.8000
E	253.916	90.000	27.9677	158.1147	0.2920	0.4291	0.0000	6.8000
dPolE	253.916	90.000	99.9941	1.0000	0.0000	6.8000
uR	253.916	90.000	0.0006	1.0000	0.0000	6.8000
E	255.529	90.000	70.8463	323.5888	0.2740	0.6938	0.0000	6.8000
dPolE	255.529	90.000	99.9364	1.0000	0.0000	6.8000
uR	255.529	90.000	0.0009	1.0000	0.0000	6.8000
E	257.142	90.000	72.4913	140.0046	0.2903	0.8512	0.0000	6.8000
dPolE	257.142	90.000	99.9653	1.0000	0.0000	6.8000
uR	257.142	90.000	0.0008	1.0000	0.0000	6.8000
E	258.756	90.000	57.0091	291.3052	0.2927	0.6441	0.0000	6.8000
dPolE	258.756	90.000	99.9492	1.0000	0.0000	6.8000
uR	258.756	90.000	0.0008	1.0000	0.0000	6.8000
E	260.369	90.000	77.4965	354.4190	0.3103	0.7487	0.0000	6.8000
dPolE	260.369	90.000	99.7392	1.0000	0.0000	6.8000
uR	260.369	90.000	0.0015	1.0000	0.0000	6.8000
E	261.983	90.000	15.2725	310.7485	0.2378	0.9356	0.0000	6.8000
dPolE	261.983	90.000	99.9813	1.0000	0.0000	6.8000
uR	261.983	90.000	0.0008	1.0000	0.0000	6.8000
E	263.596	90.000	17.9118	344.8058	0.2794	0.5356	0.0000	6.8000
dPolE	263.596	90.000	99.9638	1.0000	0.0000	6.8000
uR	263.596	90.000	0.0007	1.0000	0.0000	6.8000
E	265.210	90.000	38.3611	271.8030	0.2918	0.6115	0.0000	6.8000
dPolE	265.210	90.000	99.9783	1.0000	0.0000	6.8000
uR	265.210	90.000	0.0010	1.0000	0.0000	6.8000
E	266.823	90.000	68.2774	113.2253	0.2397	0.8015	0.0000	6.8000
dPolE	266.823	90.000	99.9947	1.0000	0.0000	6.8000
uR	266.823	90.000	0.0004	1.0000	0.0000	6.8000
E	268.437	90.000	85.5807	5.9112	0.2914	1.9758	0.0000	6.8000
dPolE	268.437	90.000	99.8570	1.0000	0.0000	6.8000
uR	268.437	90.000	0.0012	1.0000	0.0000	6.8000
E	270.051	90.000	64.1488	149.2434	0.2572	0.4603	0.0000	6.8000
dPolE	270.051	90.000	99.9640	1.0000	0.0000	6.8000
uR	270.051	90.000	0.0009	1.0000	0.0000	6.8000
E	271.665	90.000	66.3069	328.3324	0.2606	0.5099	0.0000	6.8000
dPolE	271.665	90.000	99.9477	1.0000	0.0000	6.8000
uR	271.665	90.000	0.0007	1.0000	0.0000	6.8000
E	273.279	90.000	61.1170	345.3122	0.2752	0.3704	0.0000	6.8000
dPolE	273.279	90.000	99.9643	1.0000	0.0000	6.8000
uR	273.279	90.000	0.0006	1.0000	0.0000	6.8000
E	274.892	90.000	21.6372	36.7845	0.2623	0.6039	0.0000	6.8000
dPolE	274.892	90.000	99.9999	1.0000	0.0000	6.8000
uR	274.892	90.000	0.0006	1.0000	0.0000	6.8000
E	276.506	90.000	84.9959	358.3545	0.2581	1.5808	0.0000	6.8000
dPolE	276.506	90.000	99.9263	1.0000	0.0000	6.8000
uR	276.506	90.000	0.0008	1.0000	0.0000	6.8000
E	278.120	90.000	80.1688	89.7316	0.1564	1.5316	0.0000	6.8000
dPolE	278.120	90.000	99.9767	1.0000	0.0000	6.8000
uR	278.120	90.000	0.0007	1.0000	0.0000	6.8000
E	279.734	90.000	37.6486	23.9757	0.2587	0.3441	0.0000	6.8000
dPolE	279.734	90.000	99.9627	1.0000	0.0000	6.8000
uR	279.734	90.000	0.0008	1.0000	0.0000	6.8000
E	281.349	90.000	68.1645	136.1883	0.2375	0.6041	0.0000	6.8000
dPolE	281.349	90.000	99.9902	1.0000	0.0000	6.8000
uR	281.349	90.000	0.0004	1.0000	0.0000	6.8000
E	282.963	90.000	21.6406	1.5392	0.2516	0.4079	0.0000	6.8000
dPolE	282.963	90.000	99.9499	1.0000	0.0000	6.8000
uR	282.963	90.000	0.0007	1.0000	0.0000	6.8000
E	284.577	90.000	81.1935	4.6439	0.2554	0.9553	0.0000	6.8000
dPolE	284.577	90.000	99.9885	1.0000	0.0000	6.8000
uR	284.577	90.000	0.0004	1.0000	0.0000	6.8000
